Timestamp	Full Name	University Of Manchester email address	Which faculty are you in?	How did you find out about this course?	Which programming languages do you use?	Which version control systems do you use?	Which software engineering techniques do you use?	Which course did you attend?	Please suggest one thing the instructor could have done to make this lesson more effective?	If you could pick one thing from the lesson to go over again, what would it be?	What other topics would you like to have covered in the lesson?	Do you have any other feedback?	How would you rate the course overall?
1-Mar-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Python, R	None	None	Programming in Python	part 3 of the session was quite big, I was unable to attend after a while. And the last part of the session was also chaotic, at least for me that I am very new to programming 	plotting 	data analysis - read tables, csv 		4
14-Mar-2017			Science and Engineering	I'm search by myself. Try to learn new word processor	C/C++	None	None	Introduction to LaTeX	Just perfect. 	How to use Latex			4
14-Mar-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Python	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	How to convert between documents in word and latex. 	More exercises. 	How to set it up on our own device. 		4
14-Mar-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, Fortran, Bash	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	Printed copies of cheat sheet and commands	General formatting	Converting from a word document into LaTeX	Very useful, good mix of lectures and exercises	4
14-Mar-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, Fortran, C/C++, Python	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Introduction to LaTeX	add some examples about typing equations	how to arrange figures and equations			4
14-Mar-2017			Science and Engineering	Supervisor	MATLAB	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	Understand that this is introductory course and hence not many things covered such as how to prepare journal/conference articles	None	It would be too comprehensive to include more topics. Perhaps, advanced latex course can be introduced such as preparation of journal/conference articles		4
14-Mar-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	Introduction to LaTeX	More people around to help.	referencing 	modification of the template	Can you do course for Labview?	4
14-Mar-2017			Science and Engineering	Word of mouth	Python	Git	None	Introduction to LaTeX	scenario	cross-refrencing	work through examples more often, more specific to thesis	Much better quality teaching, very effective.	4
14-Mar-2017			Science and Engineering	A University email list	MATLAB, Aimms, DPL	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	he did great explaining what he needs to cover. great job!	none - the application is just not for me. 	none	perhaps introduction to latex could be given in a separate session first, if the persons think the application suits them, they will have to enroll to the next step.	4
14-Mar-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Python	None	None	Introduction to LaTeX	Increase the pace of the course	Formatting of pictures, how to embed within text			4
14-Mar-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB	None	None	Introduction to LaTeX	The slide and exercises given are enough to cover the course	The exercise using thesis template			5
14-Mar-2017			Humanities	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	Introduction to LaTeX	I think the lesson was a good starting point - showed how to search for information and solutions. Maybe more guided examples would have been helpful.	Creating bibliographies			4
14-Mar-2017			Science and Engineering	A University email list	Python, Java	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	Speak somewhat louder	For me, everything was fine	Best way of writing algorithms		4
14-Mar-2017			Science and Engineering	Word of mouth	MATLAB, C/C++, Python	None	Comments	Introduction to LaTeX	Be more enthusiastic/animated abou the subject.	Intering pictures and tables and getting them where you want them in the document	Writing complex equations	A useful introduction to LaTeX.	4
15-Mar-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, C/C++, Mathematica	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	more sample	good			5
28-Mar-2017			Science and Engineering	A University email list	Python, Java	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing, Code reviews	Data visualisation and analysis	"Reduce text in ""01-introduction.ipynb"""	Abstract Visualization Objects (AVOs)	I think, more focus on the data analysis (Plotting different types of graphs such as line, bar charts, box charts, scatter plots and so on) might be beneficial 	Would like to thank Louise for her efforts.	4
28-Mar-2017			Science and Engineering	A University email list	Python, Java	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing, Code reviews	Version control with Git and GitHub	Just if he can speak somewhat louder and more interaction with the attendees	For me, everything was good	Tools to show the difference between versions instead of the limited git log	This is a late feedback, I have attended the workshop on the 22/02/2017	4
28-Mar-2017			Science and Engineering	A University email list	Fortran, Python	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Data visualisation and analysis	give some examples of how to use python with paraview	Look at data ranges of interest			4
28-Mar-2017			Biology, Medicine and Health	A University email list	MATLAB, Fortran, Python, R	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing	Data visualisation and analysis	It'd be good to summarize the content of the course in a more detailed way in the course description.	ParaView			5
28-Mar-2017			PSS	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	Data visualisation and analysis	The course was excellent, I can only think that it might have been useful to know the timings of breaks etc from the start	Unfortunately I couldn't stay for the afternoon session. I'm PSS staff and wanted more of a general overview anyway. The morning session more than provided this. It was really engaging and provided a really valuable insight into how data visualisation can be skew the data if not used correctly. I will definitely bring a lot of these points into my work.  I really enjoyed the way Louise connected the topics to real world examples, making it a very accessible course. 		Louise is a really engaging teacher. She clearly loves the subject and her interest really comes through. 	5
28-Mar-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, Python	None	None	Data visualisation and analysis	I would have loved to have more interactive exercises. For instance giving us different data sets and let us find the most appropriate ways to display it.	Everything was clearly explained, I feel confident about everything presented.			4
28-Mar-2017			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB, C/C++, Python	Git	None	Data visualisation and analysis	Some ideas about big data visualization	Ethical visualization 			3
28-Mar-2017			PSS	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	VBA (Macros in Excel)	None	None	Data visualisation and analysis	Lauder voice	Nothing	History of visualisation; 		4
28-Mar-2017			PSS	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	Data visualisation and analysis	Nothing	Nothing			4
28-Mar-2017			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Data visualisation and analysis	There should be speakers.	intro to paraview			4
11-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Fortran, C/C++, Python	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing, Code reviews	Introduction to HPC (using CSF and DPSF)	More information regarding the computational capabilities (CPU/GPU etc)	Details regarding the CSF facility (CPU, GPU etc).			5
11-Apr-2017			PSS	Word of mouth	Bash	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	-	-		"Kept getting:
Forbidden

You don't have permission to access /course/rcsf/RCSF-HPC-apr2017.pdf on this server.

looking at the slides. Used the one on personalpages, but slides differed slightly.
Projector was a little flickery."	5
11-Apr-2017			Science and Engineering	Supervisor	MATLAB, C/C++, Python	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	-	-	-	-	4
11-Apr-2017			Science and Engineering	Word of mouth	MATLAB, Python	Git	None	Introduction to HPC (using CSF and DPSF)	 GPU practical sessions	nothing, the pace was perfect		very useful introduction to HPC	5
11-Apr-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Stata	None	None	Introduction to HPC (using CSF and DPSF)	all good	practicals 4 and 5		no	4
11-Apr-2017			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB, C/C++, Python, Bash, Java	Git, Subversion	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing	Introduction to HPC (using CSF and DPSF)	You could have more assistants to help troubled participants, so the instructor can continue with slides/live demonstration.	Something about job array exercise	How to those hardware accelerators in CSF mentioned in the lesson		5
11-Apr-2017			PSS	colleague	Bash	Git	None	Introduction to HPC (using CSF and DPSF)	Nothing to do with actual material/course. However possible provide users with (optional) further scenarios/practical examples they can do in their own time whilst they have limited 'training period' access to the CSF.  	Nothing springs to mind. 		Jolly good show. Found it very interesting and worthwhile.	5
12-Apr-2017			PSS	Supervisor	Fortran, C/C++, Python	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing	Introduction to HPC (using CSF and DPSF)	I found the lesson very effective for the goal (introduction to use CSF)	SGE scripting			4
13-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	Introduction to HPC (using CSF and DPSF)	could have pointed to specific parts of slides as they explain	parallel computing			4
18-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, C/C++	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Introduction to HPC (using CSF and DPSF)	The introduction could be shorter.	Multi-threading and multi-task part.	Call open library and efficient coding on CSF.	No	5
20-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	UNIX shell (Linux command line)	could have selected some of the exercises to access students understanding 	Scripting	remote desktop access	No	4
20-Apr-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Python, R, Bash	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	NA	NA 	NA	It would be useful to introduce a course for programming with R	4
20-Apr-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Stata	None	None	UNIX shell (Linux command line)	nothing really. the pace was very good for beginners in UNIX	loops		no	5
20-Apr-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	R	None	None	UNIX shell (Linux command line)	perhaps a 15 mins coffee break in the 1st session to avoid information overload	pipes and filters. 	nothing I can think of at the moment 	nothing I can think of at the moment 	5
20-Apr-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Python	None	None	UNIX shell (Linux command line)	Nothing, the  lesson served its purpose . Maybe a printed copy of a cheat sheet to make some notes, like the ones provided when one takes the Microsoft courses	Loops, pipes , filters and scripts 	Exercises using csv files 	Run more courses 	5
21-Apr-2017			Science and Engineering	A University email list	MATLAB, Fortran, Python, Bash	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing	UNIX shell (Linux command line)	None	-	Scilab	-	5
21-Apr-2017			Humanities	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Fortran, C/C++, Python, Bash	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	UNIX shell (Linux command line)	if it possible make a powerpoint of the main point of the workshop instead of open the lecture notes and give more time to solve the practical questions 	Bach scripts	I wonder if possible to increase the timing for creating the batch scripts 	Thank you.  It was an informative and I learnt a lot of new things. last thing could make the workshop in two days to cover as much as possible regarding UNIX shell and have more practical exercises  	5
21-Apr-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	Introduction to HPC (using CSF and DPSF)	It was fine	practice			4
21-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Python	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	UNIX shell (Linux command line)	More short break during the course would be better than only one 30 min break between morning and afternoon session	Shell script		I like the course lectures who make sure everyone follow the coding and stop promtly if someone lose. 	5
21-Apr-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Bash	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC (using CSF and DPSF)	None 	Filtering 	Programming with R	None	4
21-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, Fortran, Python, Bash	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing	UNIX shell (Linux command line)	Give the hand out before training	Bash script	Linux language	None	5
25-Apr-2017			Science and Engineering	Word of mouth	MATLAB	None	None	Programming in Python	Give more exercise	The general idea of programming with Python			5
25-Apr-2017			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB, Fortran, C/C++	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	Slow down on the last part of the course, and include less material	Functions	More on graphics and numerical programming		4
26-Apr-2017			Science and Engineering	A University email list	Python, Bash	None	None	Programming in Python	None	Plotting	Searching files for information.	Clearer information given BEFORE workshop about the outline for the day (breaks/food provided/etc). Was located far from my office and did not bring money for purchase food for such a long day.	5
26-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, C/C++	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Defensive programming	Programming in Python	More worksheets and worked examples rather than lecturing.	Nothing	Python was well covered	No	5
26-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	Programming in Python	Reschedule breaks: instead of one large lunch break, more frequent shorter breaks would work better.	Functions.		First part of the course was in a good tempo, but second part was too fast in my opinion, and I couldn't follow it sometimes.	3
26-Apr-2017			Science and Engineering	A University email list	Python, R	None	None	Programming in Python	more hands on examples	list comprehension	more about numpy and scipy	no	3
26-Apr-2017			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB, C/C++	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	In my opinion it was ok	Practical excercises 			4
26-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, Fortran, Python	Git, Subversion	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	This is a minor point, but maybe the instructor could have spoke a little louder on occasions	Maybe the stuff on Jupyter notebook at the end, as this felt a little rushed	Perhaps a bit more on data visualisation with Python, and reading in data from popular file formats, e.g. netcdf	This was a useful introduction to Python, and there were good links to additional resources (e.g. the Python ebook) for future reference	4
26-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	Fortran, Python	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Programming in Python	In fact, I am a beginner in Python, so in think all the presented information are fine.	using if condition and looping in coding with Python	using if condition and looping in coding with Python		4
26-Apr-2017			Science and Engineering	Word of mouth	Python	None	None	Programming in Python	Speak more clear	save work done on the interactive platform	Spyder, Python graphs	Found when sat at the front , could keep up more with speed of instructor	4
26-Apr-2017			Science and Engineering	A University email list	None	None	None	Programming in Python	More case study 	Database 			4
26-Apr-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	C/C++	None	Comments	Programming in Python	A bit more interaction 	N/a			3
26-Apr-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Programming in Python	More engaging as most people are first timer on the programme	Writing of functions		Due to the time spent if lunch can be provided, it would be of great benefit	4
1-May-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	UNIX shell (Linux command line)	more practice	none	don't know enough to know	no	4
2-May-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	Introduction to LaTeX	Use video explanation 	Using shortcut words 			4
2-May-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, R	None	None	Introduction to LaTeX	Very effective for the time	Bibliography	I think the program was complete for the scope		5
2-May-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	Introduction to LaTeX	Include an example from a journal	Math equ.			4
2-May-2017			Science and Engineering	Supervisor	IGOR	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to LaTeX	NA	NA		Very well thought course for Latex beginner. 	5
2-May-2017			Humanities	Research IT newsletter (researchitnews.org)	MATLAB	None	None	Introduction to LaTeX	None	More detail on citations and importing citation styles.	More document formatting, e.g. how to change font styles, heading styles etc	Tutors very helpful and enthusiastic	5
2-May-2017			Humanities	Research IT newsletter (researchitnews.org)	Python, R	Git	None	Introduction to LaTeX	Maybe pre-reading for us	Citations	Maybe more packages and formatting 		4
2-May-2017			Science and Engineering	Looked up in Training and Catalogue for a LaTeX course	None	None	None	Introduction to LaTeX	It is effective as it is!	Referencing	Making tables		5
2-May-2017			Humanities	Research IT newsletter (researchitnews.org)	R, VBA/ Excel	None	Comments	Introduction to LaTeX	Tables (the lesson was very effective)	Including multiple chapters	Including a style sheet	Perhaps Research IT could think of unifying training on useful tools such as R, Rmarkdown, LaTeX, Github, Binbucket, Mendeley	5
2-May-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB	None	None	Introduction to LaTeX	Go through the demos slightly slower so that we can follow on our own machines at the same time	n/a	Information on what TeXStudio is vs MikTeX etc to help us install this ourselves at home (perhaps at the end of the session?). Also information as to where we can find/install packages.	Really well taught and I've learned a lot of valuable information.	5
2-May-2017			Humanities	Word of mouth	MATLAB	None	None	Introduction to LaTeX	Nothing I found the course incredibly useful.	Figure manipulation	Additional formatting e.g fonts	No the course was clear and well-paced, and Gerard was very helpful at answering individual questions	5
2-May-2017			Humanities	Word of mouth	None	None	None	Introduction to LaTeX	None really. Was a well explained process	Possibly the part about cross-referencing as that got a bit confusing for me. But am sure it's something I could learn how to do fairly quickly	Maybe a few more example about different figures/graph images to be inserted, but realise there is time constraints	Was a really good course. Have a very limited IT background but didn't feel hugely out of my depth during the session	5
2-May-2017			Science and Engineering	Supervisor	MATLAB	None	None	Introduction to LaTeX	Provide more exercises 	Writing an equation	Design some tables	The lesson was very useful	4
2-May-2017			Science and Engineering	Word of mouth	Mathematica	None	None	Introduction to LaTeX	nothing	More on filling out the thesis document and what all the parts mean	creating chapters etc	good training	5
9-May-2017			Science and Engineering	A University email list	MATLAB, C/C++, IGOR	Git	None	Version control with Git and GitHub	Cookies and Coffee would be great	Nothing, everything was fine.			5
9-May-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, C/C++, Mathematica, Bash	Git	None	Version control with Git and GitHub	it was effective	about merge and multiple branches 			4
9-May-2017			Science and Engineering	Word of mouth	MATLAB, C/C++, Python, Bash	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing, Code reviews	Version control with Git and GitHub	More diagrams 	Rebasing		A good introduction to command-line Git	4
9-May-2017			Science and Engineering	Word of mouth	C/C++, Python	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing	Version control with Git and GitHub	Already effective; depending on who is attending, perhaps more attention to the section on GitHub would be helpful.  (Or a further separate course on using GitHub might be useful too).	Can't think of anything - perhaps spending a bit more time on rebasing might have helped, but otherwise it was fine.	"Perhaps a mention of ""git stash"" somewhere would be useful."	No.	4
9-May-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, C/C++, VHDL	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Defensive programming, Code reviews	Version control with Git and GitHub	A bit more coverage of the principles of version control	branch and merge 	Principles	No	4
9-May-2017			Science and Engineering	Word of mouth	C/C++, Python, Mathematica, Bash	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	maybe speak louder but it was very good in general	undoing changes	gitflow	This was a very productive session and answered a lot of questions I had on my daily work	5
9-May-2017			PSS	Shih-Chen	Python, C#	Git	Comments	Version control with Git and GitHub	Can't think of anything in particular.	Rebasing. Mostly because my computer crashed in the middle of it.	Best practice for using git w/ IDE's. Create local or remote first? Clone from empty depository or push from local? 		5
9-May-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	n/a	n/a		Really clear and informative - will definitely be using what I've learned today!	5
10-May-2017			Science and Engineering	my eprog	MATLAB, C/C++, Python, Bash	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing, Code reviews	Version control with Git and GitHub	more practice	revert			5
6-Jun-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	C/C++	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Automation and Make	The course was effective.	-			5
6-Jun-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, C/C++, Bash	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Automation and Make	None	None			5
6-Jun-2017			Science and Engineering	A University email list	MATLAB, Python, R, Bash, Java	Git, Subversion	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing, Code reviews	Automation and Make	Everything was fine, clear and effective content and excercises	None	None		5
6-Jun-2017			Science and Engineering	Word of mouth	C/C++, Python, Bash, Java	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing, Code reviews	Version control with Git and GitHub	Entire course is good	Nothing specific 	Linking libraries and/or using AutoConf and making rules for it	None	5
6-Jun-2017			Science and Engineering	Searching through the course list	C/C++	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Automation and Make	None. He was excellent and quick	N/A		Excellent presentation	5
6-Jun-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	C/C++, Python, R, Mathematica, Bash, Typescript	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing, Defensive programming	Automation and Make	Nothing. It was a very well constructed introductory course	What was that Estates url again!	I'd have liked more tips and techniques helpful for dissecting completely unknown complex .mk and build processes. 	Thanks!	5
6-Jun-2017			Science and Engineering	My Manchester	C/C++, Python, Mathematica, Bash	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Automation and Make	I can not imagine how, it was very effective already	Pattern Rules	An overview of make methods or strategies not covered in the course, the idea would be to know where to follow after the course	Very well prepared and useful for future reference, specially regarding the material	5
6-Jun-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	C/C++	Git, Mercurial	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Automation and Make	I don't know.	"
Pattern Rules"			5
